"asset_id","source_id","source_path","source_size","source_mtime_ns","source_fps","source_time_seconds","source_end_seconds","source_frame","width","kind","precision","candidate_ids","bit_ids","tags","path","sha256","status","notes"
"review_C16_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3755.000","3775.000","","1600","contact_sheet","source_range","C16","","후반 반응","outputs/review_2026-07-11/media/C16.png","8c95d08107ab1c8bc7fd7aeffc8072ffe50cf9aecba0c305b707166159d51bde","current","원본 시간 기준 검토 카드"
"review_C16_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3755.000","3775.000","","","audio_clip","source_range","C16","","후반 반응","outputs/review_2026-07-11/media/C16.mp3","d7a4c0e3cd63037ce1224ef527d31fd9bd496910755a77b1318ab1590021de77","current","원본 시간 기준 검토 오디오"
"review_C17_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3955.000","4065.000","","1600","contact_sheet","source_range","C17","","후반 위기","outputs/review_2026-07-11/media/C17.png","4773483d31f7da19d06aca28555c9d70e17af824ce06cf90d47720f22a9f0bb3","current","원본 시간 기준 검토 카드"
"review_C17_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3955.000","4065.000","","","audio_clip","source_range","C17","","후반 위기","outputs/review_2026-07-11/media/C17.mp3","97e4209b4170e488c518172f6b6839f3b4f1c17275c91b64bb9b77a33059d8eb","current","원본 시간 기준 검토 오디오"
"review_C18_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","4095.000","4125.000","","1600","contact_sheet","source_range","C18","","후반 전환","outputs/review_2026-07-11/media/C18.png","3399c9fdf06527e60e76fc3f81e72801084e708766e54637fb6aa6ceea8b572b","current","원본 시간 기준 검토 카드"
"review_C18_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","4095.000","4125.000","","","audio_clip","source_range","C18","","후반 전환","outputs/review_2026-07-11/media/C18.mp3","f0bba4f0953bbea4b9ea1990ff8509a7b6de163855b6fdc5ba328780fb595634","current","원본 시간 기준 검토 오디오"
"review_C19_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","4335.000","4355.000","","1600","contact_sheet","source_range","C19","","후반 단서","outputs/review_2026-07-11/media/C19.png","61ab06150d1d7692f9ce3f5725f1fc7aad67345484d1f2469eced4687ccce831","current","원본 시간 기준 검토 카드"
"review_C19_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","4335.000","4355.000","","","audio_clip","source_range","C19","","후반 단서","outputs/review_2026-07-11/media/C19.mp3","2fd964bb61fbc13ea3d37d2eb8aec837e31723fbd320b393121232774417faf2","current","원본 시간 기준 검토 오디오"
"review_C20_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","4495.000","4520.000","","1600","contact_sheet","source_range","C20","","결말 진입","outputs/review_2026-07-11/media/C20.png","ea4ea445d7b71d4300f91cd3e4dde3fca937b5b8d3037660469924bb3babf82a","current","원본 시간 기준 검토 카드"
"review_C20_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","4495.000","4520.000","","","audio_clip","source_range","C20","","결말 진입","outputs/review_2026-07-11/media/C20.mp3","c6fc31c35085b8c2fe0035c0523259657cd268cf7d92b3f3276352e0fa87fdbe","current","원본 시간 기준 검토 오디오"
"review_C21_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","4675.000","4695.000","","1600","contact_sheet","source_range","C21","","결말 직전","outputs/review_2026-07-11/media/C21.png","924e792dd234c3b9d6c1fbc258c36782632245d0321fa4d4531a3660771619a0","current","원본 시간 기준 검토 카드"
"review_C21_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","4675.000","4695.000","","","audio_clip","source_range","C21","","결말 직전","outputs/review_2026-07-11/media/C21.mp3","d2e955fdc00f642d02daf93982c8235039cc3d9560d81d5b7b306559973046d5","current","원본 시간 기준 검토 오디오"
"review_C22_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","4785.000","4924.000","","1600","contact_sheet","source_range","C22","","엔딩","outputs/review_2026-07-11/media/C22.png","2ec92422723299f16e98c5e2b639c3671fea9c28b0999b881412cab7d86751c4","current","원본 시간 기준 검토 카드"
"review_C22_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","4785.000","4924.000","","","audio_clip","source_range","C22","","엔딩","outputs/review_2026-07-11/media/C22.mp3","8d720e041364e8af6b2c31a457c8afd5e4e0469121c95178fb4a03574eb8a82b","current","원본 시간 기준 검토 오디오"
"legacy_quality_B02","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","192.300","200.850","","","range_frame","source_range","","B02","기존 품질검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/quality_v4/B02.png","7b38ea90169bf94096659ad9688822e4deb976d4043395d02de26f90972f24a0","current","v4에서 이관"
"legacy_quality_B06a","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","1254.450","1294.030","","","range_frame","source_range","","B06","기존 품질검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/quality_v4/B06a.png","8e51e2b9d6c566639a3f53f5d8bfc8286fc56698a8f1bcd133facc7bf05b453b","current","v4에서 이관"
"legacy_quality_B06b","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","1254.450","1294.030","","","range_frame","source_range","","B06","기존 품질검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/quality_v4/B06b.png","67e9d34749c4f9ddd26a27c72fc68ca93523bfa555ad35b43f3bc0df7bb689f5","current","v4에서 이관"
"legacy_quality_B07a","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","1364.290","1450.000","","","range_frame","source_range","","B07","기존 품질검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/quality_v4/B07a.png","cdfa8928e9188abaaedf06d411195acc1d21b8432462300b2d57692f59343f45","current","v4에서 이관"
"legacy_quality_B07b","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","1364.290","1450.000","","","range_frame","source_range","","B07","기존 품질검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/quality_v4/B07b.png","114db2ca0665101ab6b1f7d5cd8adc5211c7aba827ee0ae570fb73342ca349f9","current","v4에서 이관"
"legacy_quality_B09a","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2294.060","2602.220","","","range_frame","source_range","","B09","기존 품질검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/quality_v4/B09a.png","e272c24788f829dba282cd62fa9b3356f9c12aefa3bbf44a53aec79c7ef3e280","current","v4에서 이관"
"legacy_quality_B09b","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2294.060","2602.220","","","range_frame","source_range","","B09","기존 품질검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/quality_v4/B09b.png","3c9804fd398a4ffb5eafd39996147887ce11f0e1e139b7dbdf4e404ce6fde769","current","v4에서 이관"
"legacy_quality_B09c","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2294.060","2602.220","","","range_frame","source_range","","B09","기존 품질검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/quality_v4/B09c.png","81a157f7366ebbfcb2603b10b1db6a72ea2494960506353ef275b3d4d914c31c","current","v4에서 이관"
"legacy_quality_B10a","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2846.490","2932.450","","","range_frame","source_range","","B10","기존 품질검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/quality_v4/B10a.png","9c3a8afc381b4951ad7ffbfedb1204517fe00af1113425a2287e7d0b1601b948","current","v4에서 이관"
